index,sentiment
16528,0
19792,0
93112,1
79706,0
91551,0
54469,1
52294,1
100631,1
61767,0
82595,0
74482,1
98006,0
88516,1
41086,0
28786,1
66939,0
6209,1
42257,1
64261,0
51572,1
101143,1
55361,1
4682,0
75795,1
98755,0
62372,1
2103,1
41427,0
99211,0
46879,1
86122,0
44098,1
35926,1
30217,0
87987,1
25173,1
35365,0
27754,1
2093,0
77094,0
61410,0
54632,1
93024,1
53016,0
20085,1
49908,1
86423,1
25073,1
3884,0
65745,1
59015,0
45264,0
55305,0
27780,1
3279,0
66846,1
52612,0
91110,0
50648,0
33982,0
87329,0
94250,0
193,0
7122,0
26538,0
65653,0
64001,0
99696,1
88796,0
43273,1
63930,0
18800,1
27801,0
63460,0
71752,0
25573,0
50109,0
86617,1
53190,1
69275,1
84656,1
66062,0
20349,1
4232,0
26576,1
25949,0
89464,0
8875,0
72551,0
33524,0
24785,0
94161,0
48174,0
48760,0
78145,0
37169,0
89392,0
36898,0
80494,1
38749,0
5289,1
88031,0
73037,1
57276,1
65859,0
83987,1
23533,1
51724,1
92597,0
96782,0
42171,0
81647,0
86182,1
8559,0
52738,1
53684,0
4225,1
81166,1
57848,0
72173,1
12937,0
29410,0
60483,0
72065,0
51790,0
22817,0
45913,0
19325,1
29630,0
70367,1
5337,0
88267,1
31030,0
54694,0
11185,0
51840,0
80233,0
87719,0
77586,0
18433,0
31938,0
4598,0
31980,0
5814,0
57218,0
11692,0
14981,0
35543,0
57857,0
54580,0
92834,0
73367,0
28137,1
54755,0
19776,1
20409,0
3434,0
24554,0
14736,0
87869,0
31196,0
25264,0
22095,1
29588,0
8546,0
65475,0
74278,0
23420,0
48658,0
37328,0
17134,0
3733,0
54074,0
585,0
75411,1
94355,0
59373,0
33786,0
47546,0
19548,0
8264,0
74196,0
34891,0
12883,1
34655,1
66073,0
94819,0
46251,0
56730,0
12769,1
64483,0
61792,1
54538,0
81833,0
69523,0
51295,0
47360,0
94472,1
81154,1
67528,1